objectid,filename,youtubeid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
math_001,petrovsky.jpeg,,Ivan Georgievich Petrovskii,,1901,"Born 18 January 1901. He is a Russian mathematician who worked on partial differential equations. His main contribution was on the theory of partial differential equations, topology of algebraic curves and surfaces, and probability. Petrovsky also worked on the boundary value problem for the heat equation and this was applied to both probability theory and work of Kolmogorov",Russia; partial differential; differential; Sevsk,USSR,55.73541678,37.58465068,MacTutor,,Image;StillImage,image/jpeg,eng,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,
math_002,novikov.jpeg,,Petr Sergeevich Novikov,,1901,"Born 15 August 1901. He is a Russian mathematician with contributions in the field of group theory (combinatorial problems, word problem for groups, and the Burnside problem). In 1952 he showed that word problem for groups is insoluble. Before entering university, he joined the Red Army under Trotsky.",Russian; Red Army; Moscow; group theory,USSR,55.73541678,37.58465068,MacTutor,,Image;StillImage,image/jpeg,eng,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,
math_003,heisenberg.jpeg,,Werner Karl Heisenberg,,1901,"Born 5 December 1901. He worked on Quantum Mechanics, and nuclear physics. He belonged to a paramilitary organization. He also played chess and was proficient at it. He was awarded in 1932 a Nobel Prize in Physics for the creation of quantum mechanics. ",German; quantum mechanics; Heisenberg uncertainty principle,Germany,49.79835446,9.937363775,MacTutor,,Image;StillImage,image/jpeg,eng,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,
math_004,brauer.jpeg,,Richard Dagobert Brauer,,1901,"Born 10 February 1901. He worked on group characters. He created a method to classify all finite simple groups. Brauer went to Harvard wehn he was 51 years old, and half of his total publications were published after this. He also collaborated with Weyl, creating a joint paper on spinors, which became the background for Dirac's work on the theory of the spinning electron within quantum mechanics.",German; finite simple groups; Harvard,Germany,52.51125899,13.31046344,MacTutor,,Image;StillImage,image/jpeg,eng,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,
math_005,akheizer.jpeg,,Naum Il'ich Akhiezer,,1901,"Born 6 March 1901. He is known for his work on function theory, and approximation theory, and on the history of mathematics. He published many papers in Russian, French, and German in Kiev University. He solved the problem of finding the polynomial with three fixed coefficients deviating least from zero on a given interval.",Russian; function theory; approximation theory,USSR,53.57072735,31.38936804,MacTutor,,Image;StillImage,image/jpeg,eng,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,
math_006,wald.jpeg,,Abraham Wald,,1902,"Born 31 October 1902. He was born in Hungary (now Romania) and worked on decision theory, geometry, and econometrics. He was a mathematics tutor to Karl Schlesinger, a leading Austrian banker and economist. It was this stint that increased his interest in economics. He worked on military projects after 1941 in Columbia. His most important work points out that the two major problems of statistical theory at that time, testing hypotheses and estimation, can both be regarded as simple special cases of a more general problem - known nowadays as a ""statistical decision problem"". He defines loss functions, risk functions, a priori distributions, Bayes decision rules, admissible decision rules, and minimax decision rules, and proves that a minimax decision rule has a constant risk under certain regularity conditions.","Hungarian; decision theory, statistics, economics",Romania,46.85052559,23.44403465,MacTutor,,Image;StillImage,image/jpeg,eng,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,
math_007,zarankiewicz.jpeg,,Kazimierz Zarankiewicz,,1902,Born 2 May 1902. He was a Polish mathematician who contributed to topology. Topology was a new discipline in the newly liberated environment the mathematician was in. He did important work in topology and graph theory. He wrote on complex functions and number thoery as well. ,Polish; topology; number theory,Poland,50.80986301,19.11435974,MacTutor,,Image;StillImage,image/jpeg,eng,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,
math_008,tarski.jpeg,,Alfred Tarski ,,1902,"Born 14 January 1901. He worked in many areas of mathematics. These were metamathematics, set theory, measure theory, model theory, and general algebra. He published a joint paper with Banach in that year (1924) on what is now called the Banach-Tarski paradox. The result proves that a sphere can be cut into a finite number of pieces and then reassembled into a sphere of larger size, or alternatively it can be reassembled into two spheres of equal size to the original one",Polish; topology; number theory; Banach-Tarksi paradox,Poland,52.2537497,21.03613154,MacTutor,,Image;StillImage,image/jpeg,eng,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,
math_009,dirac.jpeg,,Paul Adrien Maurice Dirac,,1902,"Born 8 August 1902. He is a creator of the complete theoretical formulation on quantum mechanics. He realised that Heisenberg's uncertainty principle was a statement of the noncommutativity of the quantum mechanical observables. Dirac had eleven papers already in print before submitting his doctoral dissertation. It has been said in jest that his spoken vocabulary consisted of ""Yes"", ""No"", and ""I don't know. He once said:-
I was taught at school never to start a sentence without knowing the end of it.",British; quantum mechanics; ,England,51.47084147,-2.579387849,MacTutor,,Image;StillImage,image/jpeg,eng,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,
math_010,ramsey.jpeg,,Frank Plumpton Ramsey ,,1903,"Born 22 February 1903. He is known for his work on the foundatons of mathematics and philosophy, and the Ramsey theory in combinatorics. He published his first major work The Foundations of Mathematics in 1925. ",British; Ramsey theory; combinatorics,England,52.20210365,0.1294285257,MacTutor,,Image;StillImage,image/jpeg,eng,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,
math_011,neumann.jpeg,,John von Neumann,,1903,"Born 28 December 1903.  He worked on asolid framework for quantum mechanics. He also contibuted to game theory, von Neumann Algebras, and in computer science. At the age of six, he was able to exchange jokes with his father in ancient greek, when it came to memorisation he was a prodigy. He had a unique lifestyle, and enjoyed partying. In game theory von Neumann proved the minimax theorem. ",Hungarian; quantum mechanics; game theory,Hungary,47.49026178,19.07571468,MacTutor,,Image;StillImage,image/jpeg,eng,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,
math_012,wintner.jpeg,,Aurel Wintner ,,1903,"Born 8 April 1903. He is known for his work on number theory, differential equations, probability, and celestial mechanics. From 1924 to 1927 he published around 20 papers on astronomy and mathematics. He published the first proofs of the basic facts about Hilbert spaces in 1929. He played an important role in developing the editorial policy of the American Journal of Mathematics.",Hungarian; number theory; differential equations; probability; and celestial mechanics,Hungary,47.47912515,19.22746334,MacTutor,,Image;StillImage,image/jpeg,eng,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,
math_013,delsarte.jpeg,,Jean Frédéric Auguste Delsarte,,1903,"Born
19 October 1903. He worked on mathematical analysis. Delsarte is best known for his work on mean periodic functions and translation operators, but he was an analyst of great power and originality, which he applied to many problems.",French; mathematical analysis,France,50.01884144,4.048816575,MacTutor,,Image;StillImage,image/jpeg,eng,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,
math_014,hodge.jpeg,,William Vallance Douglas Hodge,,1903,"Born 17 June 1903. He worked on Algebraic Geometry and Differential Geometry. Hodge was one of the originators of the British Mathematical Colloquium, an annual conference which visits different British universities. He was described as: unlike the conventional picture of a mathematician. Jovial, informal and down-to-earth, he could easily have passed for a businessman.",Scott; geometry,Scotland,55.94409238,-3.206368718,MacTutor,,Image;StillImage,image/jpeg,eng,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,
math_015,kolmogorov.jpeg,,Andrei Nicolaevich Kolmogoroff,,1903,"Born 25 April 1903. He is one of the pioneers of probability theory. He also worked on the motion of planets, and air turbulence. Gnedenko wrote about Kologorov: almost simultaneously [Kolmogorov] exhibited his interest in a number of other areas of classical analysis: in problems of differentiation and integration, in measures of sets etc. In every one of his papers, dealing with such a variety of topics, he introduced an element of originality, a breadth of approach, and a depth of thought.",Russian; probability theory; celestial bodies; air flow,Russia,52.72920882,41.44341953,MacTutor,,Image;StillImage,image/jpeg,eng,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,
math_016,church.jpeg,,Alonzo Church,,1903,Born 14 June 1903. He contributed to mathematical logic and theoretical computer science. He created the λ-calculus in the 1930's which today is an invaluable tool for computer scientists.,American; mathematical logic; computer science; symbolic logic,USA,38.88440146,-76.97166066,MacTutor,,Image;StillImage,image/jpeg,eng,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,
math_017,hurewicz.jpeg,,Witold Hurewicz,,1904,"Born 29 June 1904. Is known for his contributions to algebraic topology, and discovering higher homotopy groups. His brother Stefan emigrated to the United States via the Philippines in January 1941, which was a common route to avoid persecution. He contributed to military efforts with research on applied mathematics, specifically servomechanisms. ",Polish; topology; migrate,Poland,51.76440701,19.47200948,MacTutor,,Image;StillImage,image/jpeg,eng,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,
math_018,whitehead.jpeg,,John Henry Constantine Whitehead ,,1904,"Born 11 November 1904. He is remembered for his work in topology, and in homotopy equivalence. In Oxford he had many interests, including sports. He met G H Hardy through this subject. He collaborated with Lefschetz in proving that all analytic manifolds can be triangulated. In this area he is best remembered for his work on homotopy equivalence.",Indian; British; homotopy equivalence; topology,India,13.09668606,80.2203414,MacTutor,,Image;StillImage,image/jpeg,eng,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,
math_019,hall.jpeg,,Philip Hall,,1904,"Born 11 April 1904. He is one of the pioneers for the British school of group theory, and its growth in the 20th century is attributed to him. He wrote A contribution to the theory of groups of prime power order ehich is asaid to be one of the fundamental sources of modern group theory. ",British; group theory; pioneer,England,51.55852639,-0.1712030516,MacTutor,,Image;StillImage,image/jpeg,eng,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,
math_020,shnirelman.jpeg,,Lev Genrikhovich Shnireman,,1905,Born 2 January 1905. He is known for his work on the Goldbach conjecture. In 1930 Shnirelman introduced important new ideas into number theory. Using these ideas of compactness of a sequence of natural numbers he was able to prove a weak form of the Goldbach conjecture showing that every number can be written as a sum of at most CC primes where CC is a definite number.,Belarussian; Goldbach conjecture,Belarus,52.4553604,30.94644625,MacTutor,,Image;StillImage,image/jpeg,eng,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,
math_021,abraham.jpeg,,Abraham Adrian Albert ,,1901,"Born 9 November 1905. He is known for his work associative and non associative algebras. He looked at Riemann matrices and worked in the subject, producing the theory of complex manifolds and Albert went on to write an important series of papers on these questions over the following years.",American; associative and non-associative algebras; complex manifolds,USA,41.69468063,-87.70346816,MacTutor,,Image;StillImage,image/jpeg,eng,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,
math_022,kalmar.jpeg,,László Kalmár ,,1905,"Born 27 March 1905. Acknowledged as the leader of mathematical logic, he worked on this topic, and theoretical computer science. He worked on mathematical logic solving certain cases of the decision problem for the first order predicate calculus, simplified results of Bernays, and worked on ideas of Post, Gödel and Church.",Hungarian; mathematical logic; computer science,Hungary,46.52448982,17.71647009,MacTutor,,Image;StillImage,image/jpeg,eng,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,
